ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
28,5.8e-09,0.800933,531441,8e+08,2.27347e-19,2.27332e-19,2.27074e-19,2.52992e-17,68921,1e+08,1.2986e-18,1.2986e-18,1.2986e-18,4.34433e-14,7.60966e-11,7.614e-11
29,6e-09,0.820416,531441,8e+08,2.28247e-19,2.28244e-19,2.28259e-19,2.71355e-17,68921,1e+08,1.34498e-18,1.34498e-18,1.34498e-18,4.65995e-14,7.60934e-11,7.614e-11
30,6.2e-09,0.840171,531441,8e+08,2.28535e-19,2.28532e-19,2.28547e-19,2.90379e-17,68921,1e+08,1.39135e-18,1.39135e-18,1.39135e-18,4.98661e-14,7.60901e-11,7.614e-11
31,6.4e-09,0.860706,531441,8e+08,2.29431e-19,2.29439e-19,2.29673e-19,3.10064e-17,68921,1e+08,1.43773e-18,1.43773e-18,1.43773e-18,5.32431e-14,7.60867e-11,7.614e-11
32,6.6e-09,0.8808,531441,8e+08,2.3017e-19,2.30156e-19,2.29982e-19,3.30409e-17,68921,1e+08,1.4841e-18,1.4841e-18,1.4841e-18,5.67304e-14,7.60832e-11,7.61399e-11
33,6.8e-09,0.900291,531441,8e+08,2.31081e-19,2.31093e-19,2.31157e-19,3.51415e-17,68921,1e+08,1.53047e-18,1.53047e-18,1.53047e-18,6.0328e-14,7.60795e-11,7.61399e-11
34,7e-09,0.921919,531441,8e+08,2.31369e-19,2.3138e-19,2.31445e-19,3.73082e-17,68921,1e+08,1.57685e-18,1.57685e-18,1.57685e-18,6.40359e-14,7.60758e-11,7.61399e-11
35,7.2e-09,0.94407,531441,8e+08,2.32269e-19,2.32292e-19,2.32568e-19,3.95409e-17,68921,1e+08,1.62322e-18,1.62322e-18,1.62322e-18,6.7854e-14,7.6072e-11,7.61398e-11
36,7.4e-09,0.965722,531441,8e+08,3.15887e-19,3.1587e-19,3.15564e-19,4.18396e-17,68921,1e+08,1.66959e-18,1.66959e-18,1.66959e-18,7.17823e-14,7.6068e-11,7.61398e-11
37,7.6e-09,0.987456,531441,8e+08,3.16789e-19,3.16783e-19,3.16712e-19,4.41851e-17,68921,1e+08,1.71597e-18,1.71597e-18,1.71597e-18,7.58208e-14,7.60639e-11,7.61398e-11
38,7.8e-09,1.00922,531441,8e+08,3.17077e-19,3.17071e-19,3.17e-19,4.65965e-17,68921,1e+08,1.76234e-18,1.76234e-18,1.76234e-18,7.99694e-14,7.60598e-11,7.61398e-11
39,8e-09,1.03118,531441,8e+08,3.17973e-19,3.17979e-19,3.18123e-19,4.9074e-17,68921,1e+08,1.80871e-18,1.80871e-18,1.80871e-18,8.4228e-14,7.60555e-11,7.61398e-11
40,8.2e-09,1.05277,531441,8e+08,3.18718e-19,3.18701e-19,3.18479e-19,5.16174e-17,68921,1e+08,1.85508e-18,1.85508e-18,1.85508e-18,8.85966e-14,7.60511e-11,7.61397e-11
41,8.4e-09,1.07444,531441,8e+08,3.19623e-19,3.19617e-19,3.19636e-19,5.42269e-17,68921,1e+08,1.90145e-18,1.90145e-18,1.90145e-18,9.30752e-14,7.60466e-11,7.61397e-11
42,8.6e-09,1.09655,531441,8e+08,3.19911e-19,3.19905e-19,3.19924e-19,5.69024e-17,68921,1e+08,1.94782e-18,1.94782e-18,1.94782e-18,9.76638e-14,7.6042e-11,7.61397e-11
43,8.8e-09,1.11796,531441,8e+08,3.20803e-19,3.20808e-19,3.21038e-19,5.96439e-17,68921,1e+08,1.99419e-18,1.99419e-18,1.99419e-18,1.02362e-13,7.60372e-11,7.61397e-11
44,9e-09,1.13914,531441,8e+08,3.2155e-19,3.21551e-19,3.21399e-19,6.24514e-17,68921,1e+08,2.04056e-18,2.04056e-18,2.04056e-18,1.0717e-13,7.60324e-11,7.61396e-11
45,9.2e-09,1.16141,531441,8e+08,3.22444e-19,3.22456e-19,3.22516e-19,6.53248e-17,68921,1e+08,2.08693e-18,2.08693e-18,2.08693e-18,1.12088e-13,7.60275e-11,7.61396e-11
46,9.4e-09,1.18281,531441,8e+08,3.22731e-19,3.22743e-19,3.22803e-19,6.82642e-17,68921,1e+08,2.1333e-18,2.1333e-18,2.1333e-18,1.17116e-13,7.60224e-11,7.61396e-11
